team,Avg Points Per Game,Avg Poss Per Game
Carroll (MT) Fighting Saints,73.0,77.56
Central Arkansas Bears,71.97,72.09
Central Connecticut Blue Devils,72.7,69.8
Central Michigan Chippewas,66.81,69.41
Chaminade Silverswords,52.0,71.42
Champion Christian Tigers,66.29,87.32
Charleston Cougars,80.42,71.0
Charleston Southern Buccaneers,68.03,69.32
Charlotte 49ers,69.23,64.71
Chattanooga Mocs,78.03,69.97
Chicago State Cougars,68.28,69.24
Cincinnati Bearcats,75.18,70.07
Clarks Summit Defenders,63.0,80.56
Cleary University Cougars,70.0,81.17
Clemson Tigers,78.13,69.42
Cleveland State Vikings,76.39,70.21
Coastal Carolina Chanticleers,73.8,73.27
Coastal Georgia Mariner,55.0,75.63
Colgate Raiders,71.42,67.54
College Of Biblical Studies Ambassadors,63.5,73.82
Colorado Buffaloes,79.64,71.26
Colorado College Tigers,58.0,75.35
Colorado State Rams,76.82,68.5
Columbia International Rams,58.0,79.56
Columbia Lions,77.0,71.23
Coppin State Eagles,58.11,66.88
Cornell Big Red,82.96,73.02
Creighton Bluejays,80.77,69.75
Dallas Christian Crusaders,49.0,80.52
Dartmouth Big Green,61.31,67.26
Davidson Wildcats,70.29,67.77
Dayton Flyers,72.9,63.73
DePaul Blue Demons,64.97,69.76
Defiance Yellow Jackets,34.5,72.5
Delaware Blue Hens,73.69,69.13
Delaware State Hornets,70.88,72.77
Denver Pioneers,81.42,73.99
Detroit Mercy Titans,65.55,69.7
Dillard Blue Devils,65.0,77.03
Drake Bulldogs,80.36,71.49
Drexel Dragons,72.84,66.9
Duke Blue Devils,80.19,68.38
Duquesne Dukes,71.18,68.39
East Carolina Pirates,69.62,67.37
East Tennessee State Buccaneers,71.56,69.95
East Texas A&M Lions,72.19,72.45
East-West University Phantoms,49.0,78.1
Eastern Illinois Panthers,69.26,67.53
Eastern Kentucky Colonels,81.3,73.65
Eastern Michigan Eagles,66.17,67.87
Eastern Washington Eagles,81.19,72.48
Ecclesia Royals,67.0,83.96
Elon Phoenix,73.68,69.31
Erskine Flying Fleet,58.0,72.59
Eureka Red Devils,39.0,76.7
Evansville Purple Aces,71.94,71.07
Fairfield Stags,76.18,70.36
Fairleigh Dickinson Knights,76.42,75.61
Felician Golden Falcons,67.0,76.03
Fisher College Eagles,79.0,91.44
Fisk Bulldogs,30.5,36.48
Florida A&M Rattlers,67.25,72.4
Florida Atlantic Owls,82.84,71.39
Florida Gators,85.68,75.63
Florida Gulf Coast Eagles,70.65,66.85
Florida International Panthers,74.06,73.7
Florida State Seminoles,76.84,73.91
Fordham Rams,70.72,72.4
Fresno Pacific Sunbirds,66.0,69.28
Fresno State Bulldogs,67.44,68.08
Furman Paladins,79.56,73.34
