Player,SG OTT,SG OTT Percentile,Driving Distance,Distance Percentile,Driving Accuracy,Accuracy Percentile,Good Drive %,GD % Percentile,SG Approach,SG App. Percentile,GIR %,GIR Percentile,RTP Approach 175-200,RTP Approach 175-200 Percentile,RTP Approach 175-200 R,RTP Approach 175-200 R Percentile,RTP Approach 125-150,RTP Approach 125-150 Percentile,RTP Approach 125-150 R,RTP Approach 125-150 R Percentile,SG ATG,SG ATG Percentile,Scrambling %,Srambling % Percentile,RTP Scrambling Rough,RTP Scrambling Rough Percentile,SG Putting,SG Putting Percentile,Putting Avg,Putting Avg Percentile,3 Putt %,3 Putt % Percentile,Total Percentile,Rank
Matt McCarty,0.09,0.505,294.8,0.18,0.6586,0.885,0.8399,0.847,-0.187,0.255,0.6558,0.486,-0.07,0.916,0.25,0.356,-0.123,0.5880000000000001,0.156,0.28900000000000003,0.05,0.543,0.6266,0.732,0.389,0.775,0.378,0.88,1.733,0.733,0.024,0.645,0.6013274999999999,32.0
Ryo Hisatsune,0.104,0.548,297.7,0.295,0.5927,0.497,0.8172,0.615,0.281,0.711,0.679,0.759,0.013,0.469,0.29,0.255,-0.097,0.42400000000000004,-0.033,0.848,0.257,0.842,0.6571,0.928,0.358,0.882,0.067,0.527,1.774,0.20799999999999996,0.0216,0.775,0.59847,33.0
Sam Burns,0.1,0.543,305.7,0.693,0.5995,0.535,0.801,0.361,-0.337,0.163,0.6533,0.459,-0.034,0.775,-0.074,0.984,-0.119,0.565,0.2,0.19299999999999995,0.016,0.483,0.5939,0.382,0.447,0.486,1.056,1.0,1.698,0.951,0.0172,0.899,0.598135,34.0
Ricky Castillo,0.369,0.853,308.5,0.803,0.6029,0.573,0.858,0.949,0.267,0.695,0.6944,0.896,0.089,0.11299999999999999,0.227,0.402,-0.113,0.526,0.188,0.22599999999999998,0.155,0.695,0.6473,0.896,0.296,1.0,-0.358,0.13,1.774,0.20799999999999996,0.0256,0.509,0.5939049999999999,35.0
Kevin Yu,0.571,0.94,307.4,0.77,0.6207,0.715,0.8163,0.61,0.45,0.853,0.6929,0.885,0.008,0.526,0.2,0.515,-0.15,0.724,0.0,0.825,-0.137,0.271,0.5658,0.147,0.468,0.356,-0.151,0.255,1.736,0.7050000000000001,0.0263,0.45799999999999996,0.5918324999999999,36.0
Michael Kim,0.072,0.478,300.6,0.464,0.5809,0.404,0.8056,0.457,0.286,0.728,0.6417,0.295,0.007,0.5369999999999999,-0.034,0.955,-0.069,0.277,0.136,0.379,0.358,0.918,0.6512,0.918,0.357,0.893,-0.001,0.434,1.759,0.372,0.0204,0.8140000000000001,0.59129,37.0
Lucas Glover,0.096,0.527,290.3,0.087,0.6887,0.967,0.838,0.841,0.349,0.788,0.6362,0.207,-0.048,0.837,0.059,0.848,-0.144,0.6839999999999999,0.179,0.238,0.181,0.739,0.6078,0.524,0.36,0.876,-0.145,0.266,1.738,0.6890000000000001,0.0283,0.345,0.5907499999999999,38.0
Gary Woodland,0.205,0.652,313.7,0.923,0.5676,0.3,0.7972,0.31,0.235,0.663,0.657,0.513,-0.009,0.645,0.074,0.8200000000000001,-0.185,0.876,0.0,0.825,-0.418,0.054,0.6268,0.737,0.427,0.5880000000000001,0.235,0.76,1.768,0.29000000000000004,0.0254,0.526,0.5866875000000001,39.0
Akshay Bhatia,0.005,0.423,292.4,0.114,0.6171,0.688,0.8229,0.672,0.494,0.885,0.6656,0.672,-0.009,0.645,0.042,0.882,-0.259,0.984,0.125,0.39,-0.272,0.13,0.5615,0.109,0.467,0.385,0.502,0.934,1.706,0.924,0.0256,0.509,0.57847,40.0
Paul Peterson,-0.454,0.092,279.1,0.005,0.7262,0.989,0.8484,0.926,-0.307,0.173,0.6441,0.311,0.054,0.255,0.222,0.43000000000000005,-0.262,0.989,0.0,0.825,0.079,0.576,0.6293,0.748,0.392,0.763,0.176,0.673,1.728,0.815,0.0156,0.955,0.5778150000000001,41.0
Bud Cauley,0.301,0.777,302.1,0.524,0.5788,0.393,0.8151,0.581,0.547,0.918,0.6561,0.502,0.1,0.07999999999999996,0.417,0.08499999999999996,-0.237,0.961,-0.074,0.921,-0.009,0.44,0.6346,0.792,0.463,0.402,0.264,0.793,1.74,0.645,0.0278,0.396,0.5777975,42.0
Harris English,0.237,0.717,300.8,0.48,0.6271,0.759,0.8329,0.774,0.004,0.44,0.6635,0.633,0.017,0.45199999999999996,0.261,0.31699999999999995,-0.029,0.136,0.143,0.356,-0.049,0.342,0.6159,0.633,0.388,0.78,0.401,0.896,1.75,0.503,0.0171,0.904,0.5766524999999999,43.0
Robert MacIntyre,0.425,0.875,299.0,0.387,0.627,0.754,0.8429,0.898,0.452,0.858,0.6955,0.901,-0.044,0.8200000000000001,0.194,0.526,-0.115,0.5429999999999999,0.083,0.481,-0.066,0.326,0.6105,0.546,0.441,0.515,-0.04,0.385,1.777,0.17000000000000004,0.0299,0.28900000000000003,0.5760475000000002,44.0
Jason Day,-0.022,0.38,297.2,0.273,0.5789,0.398,0.8139,0.553,0.085,0.548,0.6579,0.54,0.0,0.611,0.37,0.125,-0.268,0.995,0.0,0.825,0.195,0.76,0.6239,0.688,0.463,0.402,-0.06,0.353,1.713,0.891,0.0161,0.944,0.5732075,45.0
Ben Griffin,0.216,0.668,303.6,0.59,0.588,0.442,0.816,0.604,0.335,0.76,0.6875,0.814,0.026,0.40700000000000003,0.269,0.28900000000000003,-0.154,0.746,0.122,0.396,0.156,0.701,0.5972,0.415,0.5,0.272,0.198,0.722,1.746,0.5469999999999999,0.0226,0.735,0.5730700000000001,46.0
Vince Whaley,0.176,0.614,307.3,0.765,0.5305,0.092,0.7978,0.316,-0.269,0.201,0.6635,0.633,-0.046,0.825,0.033,0.893,0.05,0.029000000000000026,0.054,0.605,-0.026,0.391,0.6508,0.912,0.491,0.29400000000000004,0.178,0.684,1.731,0.771,0.0118,0.989,0.5722824999999999,47.0
Lee Hodges,0.145,0.592,304.7,0.633,0.6223,0.721,0.8255,0.7,0.409,0.831,0.6875,0.814,-0.022,0.69,0.35,0.15900000000000003,-0.052,0.21499999999999997,0.241,0.10799999999999998,0.03,0.51,0.6311,0.759,0.46,0.41300000000000003,0.148,0.63,1.749,0.514,0.025,0.571,0.566075,48.0
